2026-04-08 12:26:36,883 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2026-04-08 12:26:36,884 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Configure stats pid to 11148
2026-04-08 12:26:36,884 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Loading settings from C:\Users\piljo\.config\wandb\settings
2026-04-08 12:26:36,884 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Loading settings from C:\Users\piljo\Github\spatial_ml\wandb\settings
2026-04-08 12:26:36,884 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2026-04-08 12:26:36,884 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2026-04-08 12:26:36,913 WARNING MainThread:11148 [wandb_setup.py:_flush():79] Could not find program at -m model.zone_segmentation.train
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m model.zone_segmentation.train'}
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_setup.py:_flush():79] Applying login settings: {}
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\piljo\Github\spatial_ml\wandb\run-20260408_122636-v6eded9l\logs\debug.log
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\piljo\Github\spatial_ml\wandb\run-20260408_122636-v6eded9l\logs\debug-internal.log
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_init.py:init():619] calling init triggers
2026-04-08 12:26:36,913 INFO    MainThread:11148 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'model': 'PatternConditionedUNet', 'epochs': 15, 'batch_size': 32, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'grad_clip': 1.0, 'amp': True, 'device': 'cuda', 'train_size': 215649, 'val_size': 30928, 'n_params_m': 26.516801, 'image_size': 256}
2026-04-08 12:26:36,914 INFO    MainThread:11148 [wandb_init.py:init():669] starting backend
2026-04-08 12:26:36,914 INFO    MainThread:11148 [wandb_init.py:init():673] sending inform_init request
2026-04-08 12:26:36,916 INFO    MainThread:11148 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2026-04-08 12:26:36,916 INFO    MainThread:11148 [wandb_init.py:init():686] backend started and connected
2026-04-08 12:26:36,920 INFO    MainThread:11148 [wandb_init.py:init():781] updated telemetry
2026-04-08 12:26:36,951 INFO    MainThread:11148 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2026-04-08 12:26:37,470 INFO    MainThread:11148 [wandb_init.py:init():867] starting run threads in backend
2026-04-08 12:26:37,521 INFO    MainThread:11148 [wandb_run.py:_console_start():2456] atexit reg
2026-04-08 12:26:37,521 INFO    MainThread:11148 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2026-04-08 12:26:37,521 INFO    MainThread:11148 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-04-08 12:26:37,521 INFO    MainThread:11148 [wandb_run.py:_redirect():2395] Redirects installed.
2026-04-08 12:26:37,537 INFO    MainThread:11148 [wandb_init.py:init():911] run started, returning control to user process
2026-04-09 09:39:16,524 INFO    MainThread:11148 [wandb_run.py:_finish():2155] finishing run hunkim98-harvard/spatially-zone-segmentation/v6eded9l
2026-04-09 09:39:16,524 INFO    MainThread:11148 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2026-04-09 09:39:16,524 INFO    MainThread:11148 [wandb_run.py:_restore():2402] restore
2026-04-09 09:39:16,524 INFO    MainThread:11148 [wandb_run.py:_restore():2408] restore done
2026-04-09 09:39:23,935 INFO    MainThread:11148 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2026-04-09 09:39:23,935 INFO    MainThread:11148 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2026-04-09 09:39:23,941 INFO    MainThread:11148 [wandb_run.py:_footer_sync_info():3921] logging synced files
